15294698,05 Haziran 2024,Satılık,160 M2,4+1,Kot 2 (-2).Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,165 M2,4,5,Mülk Sahibi Oturuyor,2.740.000
15294681,05 Haziran 2024,Satılık,80 M2,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,90 M2,16-20,5,Kiracı Oturuyor,1.350.000
15294679,05 Haziran 2024,Satılık,88 M2,2+1,Çatı Katı,Merkezi Doğalgaz,05 Haziran 2024,Konut,Daire,90 M2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,2.800.000
15294669,05 Haziran 2024,Satılık,80 M2,2+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,90 M2,11-15,3,Kiracı Oturuyor,2.398.000
15294667,05 Haziran 2024,Satılık,110 M2,3+1,Kot 1 (-1).Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,120 M2,11-15,3,Boş,1.995.000
15294660,05 Haziran 2024,Satılık,185 M2,5+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,250 M2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,5.650.000
15294627,05 Haziran 2024,Satılık,115 M2,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,120 M2,11-15,3,Boş,1.800.000
15294617,05 Haziran 2024,Satılık,170 M2,4+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,180 M2,16-20,3,Mülk Sahibi Oturuyor,2.980.000
15294615,05 Haziran 2024,Satılık,130 M2,3+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,135 M2,5-10,3,Kiracı Oturuyor,2.749.000
15294614,05 Haziran 2024,Satılık,130 M2,3+1,Kot 3 (-3).Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,138 M2,11-15,3,Mülk Sahibi Oturuyor,2.525.000
15294599,05 Haziran 2024,Satılık,135 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,140 M2,16-20,3,Mülk Sahibi Oturuyor,4.250.000
15294574,05 Haziran 2024,Satılık,250 M2,4+2,5.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,275 M2,16-20,5,Boş,3.599.000
15294566,05 Haziran 2024,Satılık,125 M2,3+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,140 M2,11-15,3,Boş,2.675.000
15294320,05 Haziran 2024,Satılık,60 M2,1+1,Kot 1 (-1).Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,70 M2,0 (Yeni),3,Boş,1.700.000
15294305,05 Haziran 2024,Satılık,80 M2,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,90 M2,0 (Yeni),3,Boş,1.950.000
15294290,05 Haziran 2024,Satılık,145 M2,3+1,6.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,165 M2,5-10,11,Boş,4.250.000
15294160,05 Haziran 2024,Satılık,115 M2,3+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,120 M2,11-15,3,Boş,2.795.000
15294142,05 Haziran 2024,Satılık,80 M2,2+1,Yüksek Giriş,Doğalgaz Sobalı,05 Haziran 2024,Konut,Daire,85 M2,11-15,3,Kiracı Oturuyor,1.570.000
15294114,05 Haziran 2024,Satılık,85 M2,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,90 M2,16-20,5,Mülk Sahibi Oturuyor,1.729.000
15294068,05 Haziran 2024,Satılık,45 M2,1+1,Kot 1 (-1).Kat,Yerden Isıtma,05 Haziran 2024,Konut,Daire,50 M2,0 (Yeni),12,Boş,2.550.000
15294043,05 Haziran 2024,Satılık,180 M2,4+1,4.Kat,Yerden Isıtma,05 Haziran 2024,Konut,Daire,195 M2,4,8,Mülk Sahibi Oturuyor,4.950.000
15294042,05 Haziran 2024,Satılık,185 M2,4.5+1,2.Kat,Merkezi (Pay Ölçer),05 Haziran 2024,Konut,Daire,205 M2,0 (Yeni),9,Boş,13.500.000
15294039,05 Haziran 2024,Satılık,130 M2,3+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,145 M2,11-15,3,Mülk Sahibi Oturuyor,3.129.999
15294019,05 Haziran 2024,Satılık,75 M2,2+1,5.Kat,Merkezi Doğalgaz,05 Haziran 2024,Konut,Daire,85 M2,5-10,6,Boş,2.750.000
15293997,05 Haziran 2024,Satılık,140 M2,4+1,Kot 1 (-1).Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,145 M2,16-20,5,Boş,2.070.000
